F3 归因（只印不判）　W08 片0　等温电流 1214 A／1150 °C　单片冻结热解：管根 1150 °C，保温／铜排／分区按 LineRunner.PlateThermalInputs（本几何的整线算例）
开跑 2026-09-23 16:35:01　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtC2　写码 2026-09-23，F3（C2）
Core 源码指纹（DesignScreen／InsulationSearch／LineRunner／ShellCurrent／ShellThermal）b2455e588b95f599　局部热稳定口径：终版（jLocalAPerMm2 = 重构 J）
开 = 生产（热场发热吃发热等效 J；盘／舌峰处报出的 J 与局部热稳定用重构 J）；关 = 改回（热场全吃重构 J）。不是三条硬判据（那要整线，见整线归因档），是同一片板在同一边界下对发热口径的响应。
R	w	档	单元	发热 开	发热 关	Δ发热W	抽热 开	抽热 关	Δ抽热W	最高温 开	Δ最高温K	盘区峰 开	Δ盘区峰K	舌区峰 开	Δ舌区峰K	热稳定裕度 开	关	热稳定报出J 开	关	耗时s
30.50	30.00	导航	1162	422.770	421.720	+1.050	-11.7048	-10.9291	-0.7757	1164.783	+0.538	1160.979	+0.079	1164.783	+0.538	7.134	7.133	11.901	11.901	2.6
30.50	30.00	判决	4334	421.402	421.329	+0.073	-11.0821	-10.9456	-0.1365	1164.160	+0.138	1162.998	+0.077	1164.160	+0.138	7.697	7.697	12.127	12.127	3.1
30.75	30.00	导航	1196	430.207	429.214	+0.993	-14.2111	-13.5167	-0.6944	1166.971	+0.610	1164.527	+0.160	1166.971	+0.610	6.197	6.195	11.663	11.663	1.6
30.75	30.00	判决	4366	428.964	428.669	+0.295	-13.5994	-13.3611	-0.2383	1166.497	+0.230	1164.906	+0.120	1166.497	+0.230	7.454	7.453	12.058	12.058	1.8
31.00	30.00	导航	1184	437.686	436.217	+1.469	-16.9258	-16.0299	-0.8959	1169.418	+0.591	1167.811	+0.279	1169.418	+0.591	5.640	5.638	11.542	11.542	1.2
31.00	30.00	判决	4450	434.764	435.083	-0.319	-15.5922	-15.5316	-0.0606	1168.481	+0.042	1166.294	-0.020	1168.481	+0.042	7.400	7.400	12.043	12.043	1.4
31.01	30.00	导航	1184	437.844	436.325	+1.518	-16.9367	-15.9981	-0.9386	1169.471	+0.617	1167.869	+0.313	1169.471	+0.617	5.614	5.613	11.546	11.546	1.0
31.01	30.00	判决	4454	435.077	435.453	-0.376	-15.7345	-15.7271	-0.0074	1168.601	+0.033	1166.444	-0.026	1168.601	+0.033	7.356	7.355	12.045	12.045	1.4
31.25	30.00	导航	1204	442.956	441.368	+1.588	-18.3833	-17.4365	-0.9468	1171.453	+0.865	1167.081	+0.345	1171.453	+0.865	6.204	6.203	11.665	11.665	0.9
31.25	30.00	判决	4548	440.412	440.715	-0.304	-17.4075	-17.3393	-0.0682	1170.506	+0.081	1167.473	+0.019	1170.506	+0.081	7.461	7.460	12.060	12.060	1.5
30.00	29.50	导航	1146	423.414	422.261	+1.153	-13.7951	-12.9354	-0.8597	1165.689	+0.627	1161.231	+0.247	1165.689	+0.627	7.181	7.180	11.902	11.902	1.1
30.00	29.50	判决	4280	422.191	422.109	+0.082	-13.3155	-13.1690	-0.1465	1165.134	+0.174	1163.367	+0.083	1165.134	+0.174	8.935	8.934	12.293	12.293	1.4
30.00	29.55	导航	1132	421.071	420.130	+0.940	-12.7843	-12.1003	-0.6841	1164.756	+0.498	1160.336	+0.105	1164.756	+0.498	7.440	7.439	11.959	11.959	1.2
30.00	29.55	判决	4250	419.553	419.367	+0.186	-12.0242	-11.7746	-0.2496	1164.104	+0.155	1162.334	+0.052	1164.104	+0.155	9.274	9.274	12.251	12.251	2.3
30.00	29.70	导航	1146	414.850	414.162	+0.688	-10.1078	-9.4047	-0.7031	1162.538	+0.128	1160.887	-0.081	1162.538	+0.128	6.546	6.546	11.746	11.746	1.0
30.00	29.70	判决	4248	413.743	413.705	+0.038	-9.4595	-9.2594	-0.2001	1162.257	+0.090	1161.234	+0.033	1162.257	+0.090	9.170	9.170	12.255	12.255	2.0
30.00	29.80	导航	1132	410.825	410.192	+0.633	-8.3010	-7.6659	-0.6351	1161.509	+0.357	1159.246	+0.179	1161.509	+0.357	7.154	7.153	11.926	11.926	1.4
30.00	29.80	判决	4194	410.042	410.107	-0.065	-7.9741	-7.8714	-0.1027	1161.234	+0.086	1160.767	+0.059	1161.234	+0.086	8.901	8.901	12.320	12.320	1.9

── 分区拆账（2026-09-23 审查后加，P3）：等温 = 电流解温度下（开 = 面发热 FaceGenW，关 = ρJ重构²tA）；热场 = 热解后 CellGenW（ρ(T_解)），只计入账格；
   「关温度场下开口径 − 关」= 用关的温度场评开口径发热减关的发热（去掉温度反馈，只剩发热口径与分布的作用）；QToClampW = 流进铜排的热（开／关）；
   发热加权半径 Δ = Σ CellGen·r/QGen 开 − 关（mm，负 = 热源往里挪）。分区：压接格 → 压接邻格（与压接格共面）→ 孔边格（有孔面）→ 孔边+1格带（r ≤ 孔半径 + 一格：判决 1 mm、导航 2 mm）→ 盘其余（r ≤ 盘半径）→ 舌其余。
R	w	档	区	格数	等温 开	等温 关	Δ等温W	热场 开	热场 关	Δ热场W	关温度场下开口径−关W	平均T开	平均T关	QToClamp 开	关	ΔW	发热加权半径Δmm
30.50	30.00	导航	全片	1162	476.702	476.728	-0.026	422.770	421.720	+1.050	+0.630			192.583	192.996	-0.413	-0.1132
30.50	30.00	导航	压接格	120	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
30.50	30.00	导航	压接邻格	30	60.039	61.721	-1.682	38.110	39.187	-1.077	-1.068	560.5	560.7				
30.50	30.00	导航	孔边格	76	9.156	8.415	+0.741	9.169	8.427	+0.742	+0.742	1150.1	1150.1				
30.50	30.00	导航	孔边+1格带	38	3.113	3.854	-0.741	3.122	3.865	-0.743	-0.743	1149.5	1149.5				
30.50	30.00	导航	盘其余	154	14.190	14.264	-0.074	14.246	14.320	-0.074	-0.075	1148.8	1148.8				
30.50	30.00	导航	舌其余	744	390.204	388.475	+1.729	358.123	355.920	+2.203	+1.774	1079.7	1077.8				
30.50	30.00	判决	全片	4334	476.573	476.666	-0.093	421.402	421.329	+0.073	+0.022			192.554	192.729	-0.175	-0.0343
30.50	30.00	判决	压接格	480	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
30.50	30.00	判决	压接邻格	60	30.978	30.860	+0.118	18.478	18.408	+0.069	+0.070	505.6	505.7				
30.50	30.00	判决	孔边格	148	4.459	4.043	+0.416	4.462	4.046	+0.416	+0.416	1150.1	1150.1				
30.50	30.00	判决	孔边+1格带	72	1.812	2.211	-0.399	1.815	2.214	-0.399	-0.399	1149.8	1149.9				
30.50	30.00	判决	盘其余	738	21.616	21.740	-0.124	21.695	21.819	-0.124	-0.125	1149.4	1149.4				
30.50	30.00	判决	舌其余	2836	417.707	417.811	-0.104	374.953	374.842	+0.111	+0.059	1077.1	1076.7				
30.75	30.00	导航	全片	1196	483.807	483.901	-0.094	430.207	429.214	+0.993	+0.563			192.856	193.261	-0.406	-0.1046
30.75	30.00	导航	压接格	120	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
30.75	30.00	导航	压接邻格	30	60.039	61.721	-1.682	38.116	39.193	-1.077	-1.068	560.6	560.8				
30.75	30.00	导航	孔边格	76	8.858	8.111	+0.747	8.871	8.123	+0.748	+0.748	1150.1	1150.1				
30.75	30.00	导航	孔边+1格带	40	3.414	4.030	-0.617	3.424	4.043	-0.619	-0.618	1149.6	1149.6				
30.75	30.00	导航	盘其余	180	18.221	18.484	-0.263	18.312	18.575	-0.263	-0.264	1149.2	1149.1				
30.75	30.00	导航	舌其余	750	393.275	391.554	+1.720	361.484	359.280	+2.203	+1.766	1081.8	1080.0				
30.75	30.00	判决	全片	4366	483.631	483.675	-0.044	428.964	428.669	+0.295	+0.174			192.872	193.020	-0.147	-0.0385
30.75	30.00	判决	压接格	480	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
30.75	30.00	判决	压接邻格	60	35.251	36.557	-1.306	21.281	22.071	-0.790	-0.789	515.9	516.0				
30.75	30.00	判决	孔边格	148	4.502	4.110	+0.392	4.506	4.114	+0.392	+0.392	1150.1	1150.1				
30.75	30.00	判决	孔边+1格带	70	1.752	2.135	-0.384	1.754	2.139	-0.384	-0.384	1149.9	1149.9				
30.75	30.00	判决	盘其余	780	23.311	23.377	-0.066	23.411	23.476	-0.065	-0.066	1149.6	1149.6				
30.75	30.00	判决	舌其余	2828	418.815	417.495	+1.320	378.012	376.869	+1.143	+1.021	1083.2	1082.6				
31.00	30.00	导航	全片	1184	490.250	490.429	-0.179	437.686	436.217	+1.469	+0.809			193.199	193.674	-0.475	-0.1238
31.00	30.00	导航	压接格	120	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
31.00	30.00	导航	压接邻格	30	68.584	73.114	-4.530	44.500	47.455	-2.955	-2.940	580.9	581.2				
31.00	30.00	导航	孔边格	76	7.122	5.532	+1.590	7.129	5.538	+1.591	+1.591	1149.9	1149.9				
31.00	30.00	导航	孔边+1格带	42	6.206	7.983	-1.777	6.228	8.012	-1.784	-1.783	1150.6	1150.6				
31.00	30.00	导航	盘其余	182	18.513	18.545	-0.033	18.622	18.653	-0.032	-0.033	1149.4	1149.3				
31.00	30.00	导航	舌其余	734	389.825	385.254	+4.570	361.207	356.559	+4.648	+3.974	1091.6	1089.0				
31.00	30.00	判决	全片	4450	489.701	489.757	-0.056	434.764	435.083	-0.319	-0.209			192.927	193.213	-0.286	-0.0447
31.00	30.00	判决	压接格	480	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
31.00	30.00	判决	压接邻格	60	16.024	10.922	+5.103	9.151	6.237	+2.914	+2.914	469.8	469.9				
31.00	30.00	判决	孔边格	148	3.995	3.416	+0.579	3.998	3.419	+0.579	+0.579	1150.0	1150.0				
31.00	30.00	判决	孔边+1格带	72	2.393	2.990	-0.597	2.398	2.995	-0.598	-0.598	1150.1	1150.2				
31.00	30.00	判决	盘其余	818	24.681	24.732	-0.051	24.798	24.850	-0.051	-0.051	1149.7	1149.7				
31.00	30.00	判决	舌其余	2872	442.608	447.697	-5.090	394.420	397.582	-3.162	-3.053	1076.8	1076.8				
31.01	30.00	导航	全片	1184	490.401	490.533	-0.133	437.844	436.325	+1.518	+0.855			193.204	193.677	-0.473	-0.1276
31.01	30.00	导航	压接格	120	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
31.01	30.00	导航	压接邻格	30	68.584	73.114	-4.530	44.500	47.455	-2.955	-2.940	580.9	581.2				
31.01	30.00	导航	孔边格	76	7.235	5.722	+1.513	7.242	5.728	+1.514	+1.514	1150.0	1150.0				
31.01	30.00	导航	孔边+1格带	42	6.223	7.895	-1.671	6.246	7.924	-1.678	-1.677	1150.6	1150.6				
31.01	30.00	导航	盘其余	182	18.526	18.540	-0.015	18.635	18.648	-0.013	-0.015	1149.4	1149.3				
31.01	30.00	导航	舌其余	734	389.832	385.262	+4.570	361.220	356.570	+4.650	+3.974	1091.6	1089.1				
31.01	30.00	判决	全片	4454	489.998	490.109	-0.111	435.077	435.453	-0.376	-0.264			192.940	193.228	-0.288	-0.0400
31.01	30.00	判决	压接格	480	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
31.01	30.00	判决	压接邻格	60	16.024	10.922	+5.103	9.151	6.237	+2.914	+2.914	469.8	469.9				
31.01	30.00	判决	孔边格	148	3.770	3.113	+0.657	3.772	3.115	+0.657	+0.657	1150.0	1150.0				
31.01	30.00	判决	孔边+1格带	76	2.906	3.627	-0.721	2.912	3.634	-0.722	-0.722	1150.3	1150.3				
31.01	30.00	判决	盘其余	812	24.207	24.268	-0.060	24.324	24.385	-0.061	-0.061	1149.7	1149.7				
31.01	30.00	判决	舌其余	2878	443.090	448.179	-5.089	394.919	398.082	-3.163	-3.052	1077.1	1077.1				
31.25	30.00	导航	全片	1204	495.220	495.312	-0.092	442.956	441.368	+1.588	+0.900			193.430	193.883	-0.453	-0.1271
31.25	30.00	导航	压接格	120	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
31.25	30.00	导航	压接邻格	30	68.584	73.114	-4.530	44.507	47.462	-2.955	-2.941	581.1	581.4				
31.25	30.00	导航	孔边格	76	8.880	8.132	+0.748	8.895	8.146	+0.749	+0.749	1150.2	1150.2				
31.25	30.00	导航	孔边+1格带	38	3.420	4.038	-0.618	3.432	4.053	-0.620	-0.620	1149.9	1149.8				
31.25	30.00	导航	盘其余	194	19.901	20.160	-0.259	20.023	20.281	-0.258	-0.261	1149.4	1149.3				
