name	mesh	line_status	line	line_stuck	root_status	root	root_stuck
G00_W08原样	导航 细2.000/半径59.0/片0 片0 1116 格 0.2s；判决 细1.000/半径59.0/片0 片0 4164 格 0.5s	出数	出数：⑦ 最热铂高出热偶读数 -110.133/5 过；⑧ 管根低于热偶读数 179.258/5 不过；②′管孔净流入 须为正 46.879/0 过；4273 g；22 轮；269 s（争用）	不过／判不了：⑧ 管根低于热偶读数(不过 179.258/5 @出口)	超时	超时（20 min 闸，争用下量得）	求根 20 min 闸切断；切断前末行：[   271s]      片3「管根低于热偶读数」裕度 -174.053 ⇒ 候选 舌保温 / 圆盘背侧减重槽张角 / 舌板开孔孔径 / 舌板开孔顺流拉长比（抬哪个由前提自检当场实测决定）
G01_W06原样	导航 细2.000/半径59.0/片0 片0 1124 格 0.0s；判决 细1.000/半径59.0/片0 片0 4188 格 0.0s	出数	出数：⑦ 最热铂高出热偶读数 -138.806/5 过；⑧ 管根低于热偶读数 194.057/5 不过；②′管孔净流入 须为正 50.547/0 过；3395 g；27 轮；475 s（争用）	不过／判不了：⑧ 管根低于热偶读数(不过 194.057/5 @入口)	超时	超时（20 min 闸，争用下量得）	求根 20 min 闸切断；切断前末行：[  1203s]      · 片0 候选淘汰：圆盘背侧减重槽张角 **开不出槽**（槽带 r32.2–34.2 宽 2.0 mm，但周向留不出桥）；舌板开孔孔径 本族不挖舌孔（解法选的是「不挖舌孔」）；舌板开孔顺流拉长比 本族不挖舌孔（解法选的是「不挖舌孔」） ⇒ 抬**舌保温**
G02_管小_孔15_盘20_舌半宽18	导航 细2.000/半径62.1/片0 片0 786 格 0.0s；判决 细1.000/半径62.1/片0 片0 3004 格 0.1s	出数	出数：⑦ 最热铂高出热偶读数 -59.622/5 过；⑧ 管根低于热偶读数 157.621/5 不过；②′管孔净流入 须为正 14.973/0 过；2661 g；22 轮；538 s（争用）	不过／判不了：⑧ 管根低于热偶读数(不过 157.621/5 @出口)	超时	超时（20 min 闸，争用下量得）	求根 20 min 闸切断；切断前末行：[   427s]      片3「管根低于热偶读数」裕度 -152.427 ⇒ 候选 舌保温 / 圆盘背侧减重槽张角 / 舌板开孔孔径 / 舌板开孔顺流拉长比（抬哪个由前提自检当场实测决定）
G03_管大_孔40_盘48_舌半宽45	导航 细2.000/半径64.8/片0 片0 1868 格 0.0s；判决 细1.000/半径64.8/片0 片0 6646 格 0.1s	出数	出数：⑦ 最热铂高出热偶读数 -80.553/5 过；⑧ 管根低于热偶读数 160.743/5 不过；②′管孔净流入 须为正 54.955/0 过；6796 g；25 轮；521 s（争用）	不过／判不了：⑧ 管根低于热偶读数(不过 160.743/5 @出口)	超时	超时（20 min 闸，争用下量得）	求根 20 min 闸切断；切断前末行：[   552s]      片3「管根低于热偶读数」裕度 -155.433 ⇒ 候选 舌保温 / 圆盘背侧减重槽张角 / 舌板开孔孔径 / 舌板开孔顺流拉长比（抬哪个由前提自检当场实测决定）
G04_舌短80	导航 细2.000/半径40.0/片0 片0 726 格 0.0s；判决 细1.000/半径40.0/片0 片0 2484 格 0.1s	出数	出数：⑦ 最热铂高出热偶读数 -336.172/5 过；⑧ 管根低于热偶读数 433.890/5 不过；②′管孔净流入 须为正 134.683/0 过；3418 g；17 轮；277 s（争用）	不过／判不了：⑧ 管根低于热偶读数(不过 433.89/5 @HC1|HC2)；⑤ 舌片自由段 ≥ 下界(不过 40/100 @入口)	超时	超时（20 min 闸，争用下量得）	求根 20 min 闸切断；切断前末行：[  1014s]   ✗ **片0 舌保温 抬到上界 20.000 仍不过**「管根低于热偶读数」⇒ **这根旋钮到顶了** —— 求解器手上只有**法兰侧**九根旋钮；**盘径与舌半宽**（R3 里「增宽」那条路）不在它手里，归「◇ 搜形状」。**一个出口只能对它自己有的旋钮下结论。**
G05_舌长230	导航 细2.000/半径90.5/片0 片0 1746 格 0.0s；判决 细1.000/半径90.5/片0 片0 6624 格 0.1s	出数	出数：⑦ 最热铂高出热偶读数 -39.212/5 过；⑧ 管根低于热偶读数 163.318/5 不过；②′管孔净流入 须为正 18.663/0 过；5557 g；24 轮；423 s（争用）	不过／判不了：⑧ 管根低于热偶读数(不过 163.318/5 @出口)	超时	超时（20 min 闸，争用下量得）	求根 20 min 闸切断；切断前末行：[   986s]   ✗ 片2「管根低于热偶读数」**法兰侧候选都不成立**：舌保温 抬到上界 20 时**解不出来**（熔化 —— 片2 在板厚 0.73/1.26/1.26/0.73 mm／舌片厚 2.03/3.51/3.51/2.03 mm 处**熔化** ⇒ **该解不存在**（不是「不够好」，是物理上不成立；熔化区里的温度数一个都不引用）。按 J=10 定的截面本不该熔：要么闭式截面漏了一刀（先看判据表「法兰截面 J」那行的最紧截面），要么 J 设太高（① 输入里的设计电流密度）。**板厚不抬** —— 熔化是判断工具，不是旋钮（用户 2026-09-09）。）（不是「没用」—— 多半是这一级被抬到把网格/回路搞坏了，该修的是这根旋钮的上界）；圆盘背侧减重槽张角 **开不出槽**（槽带 r33.1–35.1 宽 2.0 mm，但周向留不出桥）；舌板开孔孔径 本族不挖舌孔（解法选的是「不挖舌孔」）；舌板开孔顺流拉长比 本族不挖舌孔（解法选的是「不挖舌孔」）。⇒ 这是**法兰侧九根旋钮**的穷尽，不是整个设计的判决；下一根杠杆是**盘径与舌半宽**（「◇ 搜形状」）　⇒ 这一条治不了，**先把其余片做完**再收场
G06_板薄0p6	导航 细2.000/半径59.0/片0 片0 1116 格 0.0s；判决 细1.000/半径59.0/片0 片0 4164 格 0.1s	出数	出数：⑦ 最热铂高出热偶读数 -110.126/5 过；⑧ 管根低于热偶读数 179.258/5 不过；②′管孔净流入 须为正 46.877/0 过；4247 g；25 轮；464 s（争用）	不过／判不了：⑧ 管根低于热偶读数(不过 179.258/5 @出口)	超时	超时（20 min 闸，争用下量得）	求根 20 min 闸切断；切断前末行：[   543s]      · 片0 候选淘汰：圆盘背侧减重槽张角 **开不出槽**（槽带 r32.6–34.6 宽 2.0 mm，但周向留不出桥）；舌板开孔孔径 本族不挖舌孔（解法选的是「不挖舌孔」）；舌板开孔顺流拉长比 本族不挖舌孔（解法选的是「不挖舌孔」） ⇒ 抬**舌保温**
G07_板厚3	导航 细2.000/半径59.0/片0 片0 1116 格 0.0s；判决 细1.000/半径59.0/片0 片0 4164 格 0.2s	出数	出数：⑦ 最热铂高出热偶读数 -110.133/5 过；⑧ 管根低于热偶读数 179.272/5 不过；②′管孔净流入 须为正 46.880/0 过；4335 g；27 轮；521 s（争用）	不过／判不了：⑧ 管根低于热偶读数(不过 179.272/5 @出口)	超时	超时（20 min 闸，争用下量得）	求根 20 min 闸切断；切断前末行：[   669s]      · 片0 候选淘汰：圆盘背侧减重槽张角 **开不出槽**（槽带 r32.6–34.6 宽 2.0 mm，但周向留不出桥）；舌板开孔孔径 本族不挖舌孔（解法选的是「不挖舌孔」）；舌板开孔顺流拉长比 本族不挖舌孔（解法选的是「不挖舌孔」） ⇒ 抬**舌保温**
G08_2段	导航 细2.000/半径59.0/片0 片0 1116 格 0.2s；判决 细1.000/半径59.0/片0 片0 4164 格 0.2s	出数	出数：⑦ 最热铂高出热偶读数 -110.043/5 过；⑧ 管根低于热偶读数 180.031/5 不过；②′管孔净流入 须为正 46.868/0 过；2875 g；14 轮；258 s（争用）	不过／判不了：⑧ 管根低于热偶读数(不过 180.031/5 @出口)	超时	超时（20 min 闸，争用下量得）	求根 20 min 闸切断；切断前末行：[  1186s]   ↑ 片1 舌保温 → 2.500　（已实测：抬到上界这条判据确实变好 ⇒ 可以二分求根；二分直接在图纸格 0.5 上走，这是最小的过的格点）
G09_6段	导航 细2.000/半径59.0/片0 片0 1116 格 0.0s；判决 细1.000/半径59.0/片0 片0 4164 格 0.1s	出数	出数：⑦ 最热铂高出热偶读数 -102.015/5 过；⑧ 管根低于热偶读数 172.559/5 不过；②′管孔净流入 须为正 42.882/0 过；8467 g；22 轮；1035 s（争用）	不过／判不了：⑧ 管根低于热偶读数(不过 172.559/5 @出口)	超时	超时（20 min 闸，争用下量得）	求根 20 min 闸切断；切断前末行：[  1178s]      · 片0 候选淘汰：圆盘背侧减重槽张角 **开不出槽**（槽带 r32.6–34.6 宽 2.0 mm，但周向留不出桥）；舌板开孔孔径 本族不挖舌孔（解法选的是「不挖舌孔」）；舌板开孔顺流拉长比 本族不挖舌孔（解法选的是「不挖舌孔」） ⇒ 抬**舌保温**
