═══ 孔位对比：同样 R8 的孔放在舌片不同位置 ═══
几何：盘Ø120　舌长 199.5　舌端半宽 40　梯形舌　板厚 2.0 mm　1000 A
盘缘切点 x ≈ -6.1；舌片从 x=-199.5 到切点。J 沿舌轴由舌端 6.03 递减到盘缘 1.96。

孔心 x	距圆盘	抽热 W	较基准	峰值 J	较基准	体积 mm³	较基准	每 1% 体积换到的抽热降
（无孔）	—	617.3	—	8.873	—	46917	—	—
-20	14	620.1	+0.45 %	10.364	+16.8 %	46884	-0.07 %	-6.46
-50	44	603.6	-2.23 %	9.082	+2.4 %	46510	-0.87 %	2.57
-100	94	615.8	-0.24 %	8.849	-0.3 %	46518	-0.85 %	0.29
-150	144	616.4	-0.16 %	9.009	+1.5 %	46504	-0.88 %	0.18
-185	179	616.8	-0.10 %	8.873	-+0.0 %	46491	-0.91 %	0.10

── 只解一次能不能预测最优点（分数 = 1/离管距离 ÷ J，取舌轴附近单元）──
孔心 x	该处 J	分数（越大越该挖）
-20	5.838	8.565
-30	6.627	5.030
-40	5.709	4.379
-50	5.210	3.839
-60	4.998	3.335
-70	4.907	2.911
-80	4.923	2.539
-90	4.962	2.239
-100	5.050	1.980
-110	5.121	1.775
-120	5.239	1.591
-130	5.324	1.445
-140	5.458	1.309
-150	5.550	1.201
-160	5.686	1.099
-170	5.773	1.019
-180	5.889	0.943
-190	5.950	0.884
