类别	编号	名字	页	链	分组	读页面控件	耗时	说明
页	输入	① 输入	1	无				填左边的参数表和本页控件（管、法兰形状、解法），或选一张法兰 .3dm 图纸（各片同一张图，厚度各自解）。段数在「铂金管加热段数」框，每段管长在段表里；板厚、舌片厚、舌保温、环倍率由 APP 解出，不用填。填好到「② 法兰优化」点「核算整线」。
页	整线核算	② 法兰优化	2	C整线耦合／C定尺寸／C形状搜索				点「核算整线」：一路算到能出图为止（解一次 → 按 J=10 定截面与自动定厚 → 必要时搜形状 → 加密复算）。全程有进度、随时可取消；分步按钮收在「手动分步」里，平时不用碰。
页	交付	③ 结果与出图	3	无				判据表、场图、各片厚度都在这里。把这一版交出去：出图纸、存成设计记录。有问题会先列给你看，由你决定存不存。
页	参考工具	参考工具	4	D升温闸／A单段解析／A单段扫描／B分段解析／B分段法兰／C整线耦合				这一页不是设计的起点。 设计从「① 整线核算」页开始 —— 那里有两个入口：填 UI 参数，或读一张 .3dm 图纸。厚度、保温、环倍率这些由 APP 自己解出来，不从档里抄。  本页是解析粗看与校正，不可交付：粗看用来快速比趋势；「载入设计记录」把已归档的设计灌进 ① 页，之后点「核算整线」得到的就是记录里的数（走查逐项钉着）；改设计仍从 ① 页那两个入口开始。判据与交付数一律以「① 整线核算」页为准。
页	说明	使用说明	5	无				图按设计记录实时生成 —— 换一档，图跟着变。
链	A单段解析	A 单段解析		SegmentSolver.Solve			秒级	一根管的热平衡/电气/铂重，不含法兰
链	A单段扫描	A′ 单段扫描		SegmentSolver.Sweep			秒级	单个参数扫一条线，看趋势
链	B分段解析	B 分段解析		LineSolver.Solve			即时	逐段强度与铂重，不解温度场
链	B分段法兰	B′ 分段法兰		LineSolver.SizeFlanges			分钟级	把法兰算进总铂
链	C整线耦合	C 整线耦合 ★		LineRunner.Run			分钟级	权威判据表：能不能造、能不能用、要多少铂
链	C定尺寸	C′ 定尺寸		Solver.Solve			更久	自动调厚度，使判据过
链	C形状搜索	C″ 形状搜索		Solver.Solve × N			几十分钟	连盘径与舌宽一起搜，挑最轻的全过解
链	D升温闸	D 升温闸		Insulation.CylinderLoss（闭式）			毫秒	空管能不能在期限内升到目标温度（闭式快筛）
链	无	—		—			即时	不算东西：存档、载入、出图
命令	gate.ramp	升温可达性趋势	参考工具	D升温闸	页面参数	读	毫秒	5 档保温 × 4 档壁厚，闭式算升温时间与电流密度。这是快筛，升温的交付判定在「整线核算」页给
命令	calc.segment	计算 (F5)	参考工具	A单段解析	页面参数	读	秒级	按左侧参数表解一次单段。不含法兰 —— 报告里没有法兰的任何一项
命令	sweep.insul	扫描：保温厚度	参考工具	A单段扫描	页面参数	读	秒级	内层保温 0–50 mm 扫 11 点
命令	sweep.eps	扫描：铂发射率	参考工具	A单段扫描	页面参数	读	秒级	铂表面发射率 0.10–0.30 扫 9 点
命令	export.csv	导出 CSV	参考工具	A单段解析	导出	读	即时	导单段解的轴向温度分布
命令	line.runAll	核算全线	参考工具	B分段解析	页面参数	读	即时	逐段解析强度与铂重
命令	line.bestGrade	为各段选最省牌号	参考工具	B分段解析	页面参数	读	即时	逐段试各牌号，取最省的那个
命令	line.minWalls	按强度取最小壁厚	参考工具	B分段解析	页面参数	读	即时	把强度反算出的最小壁厚写回段表
命令	line.flanges	核算法兰（分钟级）	参考工具	B分段法兰	页面参数	读	分钟级	逐段一次耦合解，把法兰算进总铂
