F3 门1 面发热闭合　W08 片0　等温 1214 A／1150 °C　18 例 = R48NMeshGateTests「带格与闭合」的 9 个几何 × 导航／判决
开跑 2026-09-23 20:20:14　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtMRG　写码 2026-09-23，F3（C2）
Core 源码指纹（DesignScreen／InsulationSearch／LineRunner／ShellCurrent／ShellThermal）e4e681dba036362f　局部热稳定口径：终版（jLocalAPerMm2 = 重构 J）
门槛（跑前写死）：|新 P_gen/P_net − 1| ≤ 1e-6（选定；Σ面 g·ΔV² = I_in − Σ自由格 V·r，生产 PCG 零初值下 Σ V·r 按正交性恒约 0 ⇒ 闭合只剩舍入、与收敛无关，收敛另由 Converged 判）；热场口径同；表达不了的发热 = 0；改回逐位。旧闭合 [0.99, 1.01] 只印（旧门在 R48NMeshGateTests，不收紧）。
P_net = I²·ρ/CurrentInA；旧 P_gen = Σ ρ·J重构²·t·A（TotalGenW）；新 P_gen = Σ 面发热（FaceGenTotalW）；热场口径 = Σ ρ(T解)·1e3·J等效²·t·A（ShellThermal 的式子）；残差界 = max|V|·Σ|r|/I_in（松界，只印；闭合 1e-13 不来自它）。
R	w	档	单元	P_net W	旧P_gen W	旧闭合	新P_gen W	新闭合−1	残差界	热场口径闭合−1	新−旧 W	|J等效/J重构−1|最大(J重构≥5%Jmax)	该格(x,z)	表达不了W	改回逐位	判读
30.50	30.00	导航	1102	476.7020	476.7282	1.00006	476.7020	6.22E-015	1.65E-007	6.22E-015	-0.0262	0.8686	(-25.37,-5.34)	0	是	过
30.50	30.00	判决	4034	476.5731	476.6657	1.00019	476.5731	-1.26E-013	6.63E-007	-1.26E-013	-0.0926	0.8660	(-25.44,-4.65)	0	是	过
30.75	30.00	导航	1106	483.8072	483.9008	1.00019	483.8072	-3.39E-014	8.76E-008	-3.36E-014	-0.0937	0.2800	(-6.26,30.05)	0	是	过
30.75	30.00	判决	4066	483.6309	483.6753	1.00009	483.6309	-9.21E-014	3.29E-007	-9.19E-014	-0.0444	1.0636	(-25.71,-2.61)	0	是	过
31.00	30.00	导航	1124	490.2501	490.4291	1.00037	490.2501	1.09E-014	8.96E-008	1.09E-014	-0.1790	2.8841	(-25.78,1.36)	0	是	过
31.00	30.00	判决	4090	489.7010	489.7568	1.00011	489.7010	2.66E-014	2.21E-007	2.62E-014	-0.0558	2.9761	(-25.80,0.60)	0	是	过
31.01	30.00	导航	1124	490.4006	490.5333	1.00027	490.4006	7.11E-015	9.05E-008	7.33E-015	-0.1327	1.7120	(-25.81,1.17)	0	是	过
31.01	30.00	判决	4094	489.9979	490.1090	1.00023	489.9979	-3.95E-014	2.24E-007	-3.95E-014	-0.1111	1.2726	(-25.82,0.53)	0	是	过
31.25	30.00	导航	1144	495.2201	495.3119	1.00019	495.2201	-9.55E-015	1.00E-007	-9.55E-015	-0.0918	0.2461	(-24.42,-9.21)	0	是	过
31.25	30.00	判决	4188	495.0425	495.0867	1.00009	495.0425	-4.75E-014	2.34E-007	-4.73E-014	-0.0442	1.0636	(-25.71,-2.61)	0	是	过
30.00	29.50	导航	1086	476.6650	476.6067	0.99988	476.6650	-1.17E-014	1.82E-007	-1.17E-014	+0.0583	0.2174	(-25.12,-7.15)	0	是	过
30.00	29.50	判决	3980	476.6898	476.7743	1.00018	476.6898	1.27E-014	5.07E-007	1.27E-014	-0.0845	0.5144	(-7.10,24.90)	0	是	过
30.00	29.55	导航	1072	474.5502	474.6848	1.00028	474.5502	4.42E-014	1.41E-007	4.42E-014	-0.1346	0.4634	(-24.96,-7.27)	0	是	过
30.00	29.55	判决	3950	474.2811	474.2615	0.99996	474.2811	-3.60E-014	5.74E-007	-3.60E-014	+0.0196	0.3764	(-25.06,-6.60)	0	是	过
30.00	29.70	导航	1056	469.3157	469.1991	0.99975	469.3157	1.31E-014	1.56E-007	1.31E-014	+0.1166	0.3492	(-26.00,-1.03)	0	是	过
30.00	29.70	判决	3888	469.0145	468.9975	0.99996	469.0145	9.77E-015	1.02E-007	9.77E-015	+0.0170	0.3167	(-24.08,9.63)	0	是	过
30.00	29.80	导航	1072	465.4789	465.4257	0.99989	465.4789	-5.22E-015	2.08E-007	-5.00E-015	+0.0532	0.2154	(-25.12,7.15)	0	是	过
30.00	29.80	判决	3894	465.5017	465.5862	1.00018	465.5017	4.13E-014	1.59E-007	4.13E-014	-0.0845	0.5070	(-7.11,-24.90)	0	是	过
── 不过 0／18　耗时 10 s　2026-09-23，F3（C2）
出处：网格 = R48NMeshGateTests.Build（LineRunner.PlateMeshAnalytic 生产配方）；电流 = ShellCurrent.Solve（开 = 缺省，关 = faceHeat: false）。
